fig|381124.6.peg.10312	GRMZM2G029151	GRMZM2G029151_T01
fig|381124.6.peg.10313	AC214531.3_FG004	AC214531.3_FGT004
fig|381124.6.peg.10314	GRMZM2G029184	GRMZM2G029184_T01
fig|381124.6.peg.10315	GRMZM2G315072	GRMZM2G315072_T03
fig|381124.6.peg.10316	GRMZM2G011422	GRMZM2G011422_T01
fig|381124.6.peg.10317	GRMZM2G080380	GRMZM2G080380_T01
fig|381124.6.peg.10318	GRMZM5G874178	GRMZM5G874178_T01
fig|381124.6.peg.10319	GRMZM2G471525	GRMZM2G471525_T01
fig|381124.6.peg.1032	GRMZM2G173090	GRMZM2G173090_T01
fig|381124.6.peg.10320	GRMZM2G133941	GRMZM2G133941_T01
fig|381124.6.peg.10321	AC205521.3_FG003	AC205521.3_FGT003
fig|381124.6.peg.10322	GRMZM2G419563	GRMZM2G419563_T01
fig|381124.6.peg.10323	GRMZM2G100225	GRMZM2G100225_T01
fig|381124.6.peg.10324	GRMZM2G148561	GRMZM2G148561_T01
fig|381124.6.peg.10325	GRMZM2G073079	GRMZM2G073079_T01
fig|381124.6.peg.10326	GRMZM2G702471	GRMZM2G702471_T01
fig|381124.6.peg.10327	GRMZM2G076348	GRMZM2G076348_T01
fig|381124.6.peg.10328	GRMZM2G167875	GRMZM2G167875_T02
fig|381124.6.peg.10329	GRMZM2G556238	GRMZM2G556238_T01
fig|381124.6.peg.1033	GRMZM5G826830	GRMZM5G826830_T01
fig|381124.6.peg.10330	GRMZM2G016145	GRMZM2G016145_T01
fig|381124.6.peg.10331	GRMZM2G104651	GRMZM2G104651_T01
fig|381124.6.peg.10332	GRMZM2G104704	GRMZM2G104704_T01
fig|381124.6.peg.10333	GRMZM2G093945	GRMZM2G093945_T02
fig|381124.6.peg.10334	GRMZM2G180547	GRMZM2G180547_T01
fig|381124.6.peg.10335	GRMZM2G180552	GRMZM2G180552_T01
fig|381124.6.peg.10336	GRMZM2G341058	GRMZM2G341058_T01
fig|381124.6.peg.10337	GRMZM2G341083	GRMZM2G341083_T01
